"date","load"
2011-01-01,4273
2011-01-02,6385
2011-01-03,7545
2011-01-04,6665
2011-01-05,6550
2011-01-06,6152
2011-01-07,5818
2011-01-08,5444
2011-01-09,6759
2011-01-10,7016
2011-01-11,6621
2011-01-12,5578
2011-01-13,5999
2011-01-14,5235
2011-01-15,4772
2011-01-16,4469
2011-01-17,3260
2011-01-18,3185
2011-01-19,3433
2011-01-20,3417
2011-01-21,4400
2011-01-22,4037
2011-01-23,4842
2011-01-24,3466
2011-01-25,2610
2011-01-26,3499
2011-01-27,4281
2011-01-28,4118
2011-01-29,5060
2011-01-30,7214
2011-01-31,7138
2011-02-01,6139
2011-02-02,5613
2011-02-03,4670
2011-02-04,4915
2011-02-05,4897
2011-02-06,5071
2011-02-07,6046
2011-02-08,5893
2011-02-09,5353
2011-02-10,5337
2011-02-11,5073
2011-02-12,5324
2011-02-13,6357
2011-02-14,5851
2011-02-15,4571
2011-02-16,4906
2011-02-17,5279
2011-02-18,4719
2011-02-19,4303
2011-02-20,4393
2011-02-21,4054
2011-02-22,3465
2011-02-23,3373
2011-02-24,4294
2011-02-25,4819
2011-02-26,5044
2011-02-27,4500
2011-02-28,4592
